component,n,m,status,objective,elapsed_seconds,note
206,2,1,Optimal,1,0.060045000000002346,
207,2,1,Optimal,1,0.062372124999996004,
208,2,1,Optimal,1,0.05677483299999153,
209,2,1,Optimal,1,0.058900957999995285,
210,2,1,Optimal,1,0.05852283400000147,
211,2,1,Optimal,1,0.05735658300000068,
212,2,1,Optimal,1,0.055242750000005,
213,2,1,Optimal,1,0.06804345800000533,
214,2,1,Optimal,1,0.05965266700000882,
215,2,1,Optimal,1,0.06324529200000484,
216,2,1,Optimal,1,0.06535654200000351,
217,2,1,Optimal,1,0.05566179100000568,
218,2,1,Optimal,1,0.06115629199999262,
219,2,1,Optimal,1,0.06013799999999492,
220,2,1,Optimal,1,0.061499291000004064,
221,2,1,Optimal,1,0.060857334000004926,
222,2,1,Optimal,1,0.0567800830000067,
223,2,1,Optimal,1,0.05629079099999501,
224,2,1,Optimal,1,0.05691158400000518,
225,2,1,Optimal,1,0.12936458299999742,
226,2,1,Optimal,1,0.086686499999999,
227,2,1,Optimal,1,0.06260570799999243,
228,2,1,Optimal,1,0.053983790999993175,
229,2,1,Optimal,1,0.07811920899999336,
230,2,1,Optimal,1,0.059881666999999084,
231,2,1,Optimal,1,0.0572750830000075,
232,2,1,Optimal,1,0.057808749999992415,
233,2,1,Optimal,1,0.06177850000000262,
234,2,1,Optimal,1,0.12922120800000414,
235,2,1,Optimal,1,0.08661362499999825,
236,2,1,Optimal,1,0.059965624999989586,
237,2,1,Optimal,1,0.108039333999983,
238,2,1,Optimal,1,0.14892670900002258,
239,2,1,Optimal,1,0.09373204199999918,
240,2,1,Optimal,1,0.07971300000002657,
241,2,1,Optimal,1,0.05661629100001164,
242,2,1,Optimal,1,0.06004670800001577,
243,2,1,Optimal,1,0.05186366699999212,
244,2,1,Optimal,1,0.059516583000004175,
245,2,1,Optimal,1,0.06149179199999821,
246,2,1,Optimal,1,0.05777183400002173,
247,2,1,Optimal,1,0.05981458299999076,
248,2,1,Optimal,1,0.052925249999987045,
249,2,1,Optimal,1,0.06847799999999893,
250,2,1,Optimal,1,0.06190075000000661,
251,2,1,Optimal,1,0.05308979200000863,
252,2,1,Optimal,1,0.07024537499998473,
253,2,1,Optimal,1,0.061194875000012416,
254,2,1,Optimal,1,0.054458832999984,
255,2,1,Optimal,1,0.06093587499998421,
256,2,1,Optimal,1,0.08466762500000868,
257,2,1,Optimal,1,0.06046016700000223,
258,2,1,Optimal,1,0.06526145799998062,
259,2,1,Optimal,1,0.07154487500000073,
260,2,1,Optimal,1,0.0576642080000056,
261,2,1,Optimal,1,0.0661667920000184,
262,2,1,Optimal,1,0.05527570800001058,
263,2,1,Optimal,1,0.05969137499999988,
264,2,1,Optimal,1,0.0522842500000138,
265,2,1,Optimal,1,0.05941629199998033,
266,2,1,Optimal,1,0.1108938339999952,
267,2,1,Optimal,1,0.06423924999998576,
268,2,1,Optimal,1,0.05967862500000365,
269,2,1,Optimal,1,0.056989749999985406,
270,2,1,Optimal,1,0.07053312500002562,
271,2,1,Optimal,1,0.06234658299999296,
272,2,1,Optimal,1,0.06439704199999596,
273,2,1,Optimal,1,0.06330575000001204,
274,2,1,Optimal,1,0.055453292000009924,
275,2,1,Optimal,1,0.05929920900001662,
276,2,1,Optimal,1,0.062225458000000344,
277,2,1,Optimal,1,0.06043904199998451,
278,2,1,Optimal,1,0.060908667000006744,
279,2,1,Optimal,1,0.05799883399998862,
280,2,1,Optimal,1,0.05488654199999132,
281,2,1,Optimal,1,0.058761750000002166,
282,2,1,Optimal,1,0.10020587500000033,
283,2,1,Optimal,1,0.05881137500000477,
284,2,1,Optimal,1,0.05386587499998541,
285,2,1,Optimal,1,0.19061520799999698,
286,2,1,Optimal,1,0.0659373750000043,
287,2,1,Optimal,1,0.08174091699999053,
288,2,1,Optimal,1,0.0556453339999905,
289,2,1,Optimal,1,0.059648958999986235,
290,2,1,Optimal,1,0.05747566599998777,
291,2,1,Optimal,1,0.06268312500000661,
292,2,1,Optimal,1,0.06193687500001488,
293,2,1,Optimal,1,0.06441862500000184,
294,2,1,Optimal,1,0.05635674999999196,
295,2,1,Optimal,1,0.06395125000000235,
296,2,1,Optimal,1,0.06386633400001074,
297,2,1,Optimal,1,0.061757540999991534,
298,2,1,Optimal,1,0.06484612500000253,
