profile,phase,graph_family,graph_id,n,m,d_input,d_eff,seed,solver,time_limit,random_trials,greedy_random_mean,greedy_random_std,greedy_random_best,greedy_min_degree,warm_start_size,ip_status,ip_incumbent,ip_upper_bound,ip_gap,ip_runtime_sec,threshold_logd,threshold_log1pd,threshold_2logd,first_moment_threshold,found_beyond_logd,proved_beyond_logd,proved_optimal,solution_valid,error
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed16,1000,9906.0,20.0,19.812,16,CBC,300.0,100,153.0,4.2946995755750415,165.0,193.0,193.0,TimeLimit,193.0,353.894,0.25,300.3226510829991,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed17,1000,10067.0,20.0,20.134,17,CBC,300.0,100,150.48,4.595738034397531,160.0,190.0,190.0,TimeLimit,190.0,354.755,0.26,301.09674754200023,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed18,1000,10075.0,20.0,20.15,18,CBC,300.0,100,150.29,3.9906329717416407,158.0,195.0,195.0,TimeLimit,195.0,353.177,0.24,301.17501933399944,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed19,1000,10081.0,20.0,20.162,19,CBC,300.0,100,152.3,5.105948204859414,165.0,194.0,194.0,TimeLimit,194.0,357.413,0.25,301.65160158300023,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,B_scaling,"G(n,d/n)",ER_d20_n1500_seed0,1500,15068.0,20.0,20.090666666666667,0,CBC,600.0,100,226.76,5.177886156580217,243.0,288.0,288.0,TimeLimit,288.0,553.956,0.28,600.0596274999989,224.67992051654932,228.3391828292567,449.35984103309863,349.49392070860154,True,False,False,True,
main,B_scaling,"G(n,d/n)",ER_d20_n1500_seed1,1500,15026.0,20.0,20.034666666666663,1,CBC,600.0,100,227.48,6.374634075455594,245.0,292.0,292.0,TimeLimit,292.0,547.693,0.27,597.3805956249998,224.67992051654932,228.3391828292567,449.35984103309863,349.49392070860154,True,False,False,True,
main,B_scaling,"G(n,d/n)",ER_d20_n1500_seed2,1500,15079.0,20.0,20.105333333333338,2,CBC,600.0,100,227.33,6.1398762860566505,244.0,286.0,286.0,TimeLimit,286.0,556.117,0.29,598.5098731670005,224.67992051654932,228.3391828292567,449.35984103309863,349.49392070860154,True,False,False,True,
main,B_scaling,"G(n,d/n)",ER_d20_n1500_seed3,1500,14898.0,20.0,19.864,3,CBC,600.0,100,226.73,5.402683583089972,240.0,292.0,292.0,TimeLimit,292.0,548.254,0.27,599.3064959580006,224.67992051654932,228.3391828292567,449.35984103309863,349.49392070860154,True,False,False,True,
main,B_scaling,"G(n,d/n)",ER_d20_n1500_seed4,1500,15012.0,20.0,20.016,4,CBC,600.0,100,226.52,5.324765845850061,239.0,297.0,297.0,TimeLimit,297.0,551.971,0.27,600.4408831669971,224.67992051654932,228.3391828292567,449.35984103309863,349.49392070860154,True,False,False,True,
main,B_scaling,"G(n,d/n)",ER_d20_n1500_seed5,1500,14932.0,20.0,19.909333333333333,5,CBC,600.0,100,228.78,5.895692658135422,240.0,296.0,296.0,TimeLimit,296.0,549.818,0.27,598.8968342090011,224.67992051654932,228.3391828292567,449.35984103309863,349.49392070860154,True,False,False,True,
main,B_scaling,"G(n,d/n)",ER_d20_n1500_seed6,1500,14855.0,20.0,19.80666666666667,6,CBC,600.0,100,229.75,6.039223643997813,246.0,302.0,302.0,TimeLimit,302.0,552.189,0.26,600.0158164579989,224.67992051654932,228.3391828292567,449.35984103309863,349.49392070860154,True,False,False,True,
